send_date,task_id,touch_type,sent_at_ist
2026-07-27,QC-STAB-038-20260425,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-139-20260504,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-143-20260519,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-144-20260519,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-145-20260519,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-146-20260519,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-199-20260519,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-200-20260519,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-201-20260519,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-409-20260522,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-128-20260603,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-129-20260603,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-086-20260609,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-421-20260615,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-057-20260624,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-092-20260624,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-093-20260624,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-094-20260624,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-058-20260627,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-059-20260630,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-101-20260630,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-102-20260630,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-103-20260630,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-104-20260630,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-105-20260630,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-106-20260630,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-155-20260630,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-156-20260630,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-157-20260630,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-158-20260630,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-159-20260630,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-160-20260630,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-161-20260630,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-205-20260630,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-206-20260630,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-207-20260630,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-208-20260630,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-209-20260630,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-210-20260630,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-266-20260630,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-267-20260630,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-268-20260630,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-269-20260630,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-270-20260630,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-271-20260630,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-272-20260630,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-273-20260630,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-274-20260630,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-275-20260630,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-237-20260703,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-238-20260703,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-239-20260703,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-425-20260703,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-240-20260709,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-241-20260709,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-242-20260709,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-243-20260709,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-062-20260712,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-063-20260712,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-064-20260715,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-066-20260718,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-067-20260718,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-286-20260721,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-287-20260721,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-288-20260721,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-289-20260721,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-290-20260721,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-291-20260721,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-427-20260721,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-110-20260730,planning,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-111-20260730,planning,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-112-20260730,planning,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-113-20260730,planning,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-114-20260730,planning,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-115-20260730,planning,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-116-20260730,planning,2026-07-27T10:55:41+05:30
2026-07-28,MIC-EMSET-014-20260723,report_chaser,2026-07-28T10:14:12+05:30
2026-07-28,MIC-EMSET-015-20260724,report_chaser,2026-07-28T10:14:12+05:30
2026-07-28,QA-SCHED-042-20260731,planning,2026-07-28T10:14:12+05:30
2026-07-28,QC-STAB-025-20260628,action_critical,2026-07-28T10:14:12+05:30
2026-07-28,QC-STAB-026-20260628,action_critical,2026-07-28T10:14:12+05:30
2026-07-28,QC-STAB-027-20260628,action_critical,2026-07-28T10:14:12+05:30
2026-07-28,QC-CAL-027-20260701,status_nag,2026-07-28T10:14:12+05:30
2026-07-28,QC-CAL-028-20260701,status_nag,2026-07-28T10:14:12+05:30
2026-07-28,QC-CAL-029-20260701,status_nag,2026-07-28T10:14:12+05:30
2026-07-28,QC-STAB-194-20260102,action_critical,2026-07-28T10:14:12+05:30
2026-07-28,QC-STAB-195-20260102,action_critical,2026-07-28T10:14:12+05:30
2026-07-28,QC-STAB-061-20260108,action_critical,2026-07-28T10:14:12+05:30
2026-07-28,QC-STAB-065-20260117,action_critical,2026-07-28T10:14:12+05:30
2026-07-28,QC-STAB-276-20260117,action_critical,2026-07-28T10:14:12+05:30
